Security Name,Ticker
THE ANUP ENGINEERING LIMITED EQ EQ,ANUP.NS
VISHAL MEGA MART LIMITED EQ EQ,VISHAL.BO
WAAREE ENERGIES LIMITED EQ EQ,WAAREE.BO
APOLLO TYRES LIMITED EQ RE.1/-,APOLLO.NS
CEAT LIMITED EQ NEW RS.10 EQ NEW RS.10,CEATLTD.NS
EVEREST INDUSTRIES LIMITED EQ EQ,EVERESTIND.NS
JK LAKSHMI CEMENT LIMITED EQ NEW RS.5/-,JKLAKSHMI.NS
JUBILANT INGREVIA LIMITED EQ,JUBLINGREA.NS
KEC INTERNATIONAL LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,KEC.NS
LAKSHMI PRECISION SCREWS LIMITED EQ EQ,LAKPRE.NS
PIDILITE INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,PIDILITIND.NS
PRAKASH INDUSTRIES LIMITED EQ,PRAKASH.NS
PRAKASH PIPES LIMITED EQ EQ,PRAKASH.NS
SUMMIT SECURITIES LIMITED EQ EQ,SUMMITSEC.NS
TATA CHEMICALS LIMITED EQ EQ,TATACHEM.NS
TATA CONSUMER PRODUCTS LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,TATACONSUM.NS
TITAN COMPANY LIMITED EQ NEW Re.1/- EQ NEW Re.1/-,TITAN.NS
ALLCARGO LOGISTICS LIMITED EQ NEW EQ NEW,ALLCARGO.NS
ALLCARGO TERMINALS LIMITED EQ NEW FV RS 2/-,ALLCARGO.NS
FIRSTSOURCE SOLUTIONS LIMITED EQ,FSL.NS
FORTIS HEALTHCARE LIMITED EQ EQ,FORTIS.NS
INDOCO REMEDIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,INDOCO.NS
INDOWIND ENERGY LIMITED EQ EQ,INDOWIND.NS
INSECTICIDES (INDIA) LIMITED EQ EQ,INSECTICID.NS
JET AIRWAYS (INDIA) LIMITED EQ,JETAIRWAYS.NS
SMS LIFESCIENCES INDIA LIMITED EQ,SMSLIFE.NS
TGB BANQUETS AND HOTELS LIMITED EQ,TGBHOTELS.NS
THANGA MAYIL JEWELLERY LIMITED EQ EQ,THANGAMAYL.NS
ACC LIMITED EQ F.V. RS.10,ACC.NS
AXIS BANK LIMITED EQ NE FV RS. 2/- EQ NE FV RS. 2/-,AXISBANK.NS
BALKRISHNA INDUSTRIES LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,BALKRISHNA.NS
BIOCON LIMITED EQ EQ,BIOCON.NS
CIE AUTOMOTIVE INDIA LIMITED EQ EQ,CIEINDIA.NS
CSB BANK LIMITED EQ,CSBBANK.NS
CYIENT LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,CYIENT.NS
EXPLEO SOLUTIONS LIMITED EQ,EXPLEOSOL.NS
FUSION FINANCE LIMITED EQ EQ,FUSION.NS
GARWARE TECHNICAL FIBRES LIMITED EQ EQ,GARFIBRES.NS
GUJARAT FLUOROCHEMICALS LIMITED EQ EQ,FLUOROCHEM.NS
HARSHA ENGINEERS INTERNATIONAL LIMITED EQ NEW FV RS.10/-,HARSHA.NS
INNOVATIVE TYRES & TUBES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,INNOVATIVE.NS
KOTAK MAHINDRA BANK LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,KOTAKBANK.NS
NAZARA TECHNOLOGIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,NAZARA.NS
POLYPLEX CORPORATION LIMITED EQ,POLYPLEX.NS
POWER MECH PROJECTS LIMITED EQ EQ,POWERMECH.NS
RATTANINDIA ENTERPRISES LIMITED EQ,RTNINDIA.NS
ROSSARI BIOTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ROSSARI.NS
STYRENIX PERFORMANCE MATERIALS LIMITED EQ,STYRENIX.NS
ALKEM LABORATORIES LIMITED EQ,ALKEM.NS
AWL AGRI BUSINESS LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,AWL.NS
BIRLANU LIMITED EQ EQ,BIRLANU.BO
DIXON TECHNOLOGIES (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,DIXON.NS
FEDBANK FINANCIAL SERVICES LIMITED EQ EQ,FEDFINA.NS
GUJARAT ALKALIES AND CHEMICALS LIMITED EQ EQ,GUJALKALI.NS
GUJARAT PIPAVAV PORT LIMITED EQ,GPPL.NS
HFCL LIMITED EQ NEW F.V.RE.1/- EQ NEW F.V.RE.1/-,HFCL.NS
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED EQ EQ,ICICIGI.NS
INOX WIND LIMITED EQ EQ,INOXWIND.NS
MOIL LIMITED EQ NEW F.V. RS.10/-,MOIL.NS
NAVKAR CORPORATION LIMITED EQ EQ,NAVKARCORP.NS
NDR AUTO COMPONENTS LIMITED EQ EQ,NDRAUTO.NS
PERSISTENT SYSTEMS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,PERSISTENT.NS
PUNJAB AND SIND BANK EQ,PSB.NS
SNOWMAN LOGISTICS LIMITED EQ,SNOWMAN.NS
UJJIVAN SMALL FINANCE BANK LIMITED EQ EQ,UJJIVANSFB.NS
ARVIND SMARTSPACES LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,ARVIND.NS
NTPC GREEN ENERGY LIMITED EQ EQ,NTPC.NS
BERGER PAINTS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,BERGEPAINT.NS
EMBASSY DEVELOPMENTS LIMITED EQ EQ,EMBASSY.NS
EPIGRAL LIMITED EQ EQ,EPIGRAL.NS
IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED EQ,IL&FSENGG.NS
MPHASIS LIMITED EQ EQ,MPHASIS.NS
PARSVNATH DEVELOPERS LIMITED EQ NEW,PARSVNATH.NS
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED EQ EQ,SCHNEIDER.NS
SIEMENS ENERGY INDIA LIMITED EQ EQ,SIEMENS.NS
SIEMENS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,SIEMENS.NS
XCHANGING SOLUTIONS LIMITED EQ,XCHANGING.NS
AMBUJA CEMENTS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,AMBUJACEM.NS
AUROBINDO PHARMA LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,AUROPHARMA.NS
BHARAT PETROLEUM CORPORATION LIMITED EQ EQ,BPCL.NS
CIPLA LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,CIPLA.NS
EICHER MOTORS LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,EICHERMOT.NS
ESCORTS KUBOTA LIMITED EQ EQ,ESCORTS.NS
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED EQ,GRSE.NS
GLENMARK PHARMACEUTICALS LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GLENMARK.NS
HAVELLS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HAVELLS.NS
HCL TECHNOLOGIES LIMITED EQ F.V. RS.2/-,HCLTECH.NS
HDFC MUTUAL FUND DEFENCE  FUND REGULAR PLAN  GROWTH,HFCL.NS
HDFC MUTUAL FUND MANUFACTURING FD-REGULAR PL-GRWTH MANUFACTURING FD-REGULAR PL-GRWTH,HFCL.NS
HDFC MUTUAL FUND TECHNOLOGY FD -RG PL-GR,HFCL.NS
HINDALCO INDUSTRIES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HINDALCO.NS
HINDUSTAN PETROLEUM CORPORATION LIMITED EQ EQ,HINDPETRO.NS
IDBI BANK LIMITED EQ,IDBI.NS
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED EQ NEW FV RS. 2/-,IRCTC.NS
JK TYRE & INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,JKTYRE.NS
MARICO LIMITED NEW EQ RE.1 NEW EQ RE.1,MARICO.NS
MARUTI SUZUKI INDIA LIMITED EQ EQ,MARUTI.NS
MISHRA DHATU NIGAM LIMITED EQ,MIDHANI.NS
MRF LIMITED EQ,MRF.NS
SBI LIFE INSURANCE COMPANY LIMITED EQ EQ,SBILIFE.NS
SONA BLW PRECISION FORGINGS LIMITED EQ EQ,SONACOMS.NS
TECH MAHINDRA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,TECHM.NS
THE NEW INDIA ASSURANCE COMPANY LIMITED EQ,NIACL.NS
UCO BANK EQ EQ,UCOBANK.NS
JSW HOLDINGS LIMITED EQ,JSWHL.NS
BAJAJ AUTO LIMITED EQ EQ,BAJAJ-AUTO.NS
BAJAJ FINSERV LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,BAJAJFINSV.NS
