Security_Name,NSE_Symbol
ADANI ENTERPRISES LIMITED EQ NEW FV RE.1/-,ADANIENT
ARVIND LIMITED EQ EQ,ARVIND
BSE LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,BSE
G R INFRAPROJECTS LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,GRINFRA
HDB FINANCIAL SERVICES LIMITED EQ EQ,HDBFS
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED EQ EQ,HUDCO
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED EQ EQ,IREDA
INDOSTAR CAPITAL FINANCE LIMITED EQ EQ,INDOSTAR
INDUSIND BANK LTD. EQ EQ,INDUSINDBK
INOX INDIA LIMITED EQ NEW FV RS.2/-,INOXINDIA
INVENTURUS KNOWLEDGE SOLUTIONS LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,IKS
LAURUS LABS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,LAURUSLABS
LG ELECTRONICS INDIA LIMITED EQ EQ,EMIL
MAHANAGAR GAS LIMITED EQ,MGL
RBL BANK LIMITED EQ EQ,RBLBANK
S CHAND AND COMPANY LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,SCHAND
SHALBY LIMITED EQ,SHALBY
THE ANUP ENGINEERING LIMITED EQ EQ,ANUP
VISHAL MEGA MART LIMITED EQ EQ,VMM
WAAREE ENERGIES LIMITED EQ EQ,WAAREEENER
ADVANCED ENZYME TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ADVENZYMES
APOLLO TYRES LIMITED EQ RE.1/-,APOLLOTYRE
BANSWARA SYNTEX LIMITED EQ NEW FV RS.5/-,BANSWRAS
CEAT LIMITED EQ NEW RS.10 EQ NEW RS.10,CEATLTD
ELECTROSTEEL CASTINGS LIMITED EQ NEW RE.1/- EQ NEW RE.1/-,ELECTCAST
EVEREST INDUSTRIES LIMITED EQ EQ,EVERESTIND
GREAVES COTTON LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,GREAVESCOT
HEXAWARE TECHNOLOGIES LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,HEXT
INTEGRA ESSENTIA LIMITED EQ NEW FV RE .1/- EQ NEW FV RE .1/-,ESSENTIA
JK LAKSHMI CEMENT LIMITED EQ NEW RS.5/-,JKLAKSHMI
JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED EQ EQ,JUBLCPL
JUBILANT INGREVIA LIMITED EQ,JUBLINGREA
JUBILANT PHARMOVA LIMITED EQ NEW FV RE.1/-,JUBLPHARMA
KEC INTERNATIONAL LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,KEC
LAKSHMI PRECISION SCREWS LIMITED EQ EQ,LAKPRE
NAVIN FLUORINE INTERNATIONAL LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,NAVINFLUOR
ORIENTAL AROMATICS LIMITED EQ NEW FV RS 5 /-,OAL
PIDILITE INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,PIDILITIND
PRAKASH INDUSTRIES LIMITED EQ,PRAKASH
PRAKASH PIPES LIMITED EQ EQ,PPL
SUMMIT SECURITIES LIMITED EQ EQ,SUMMITSEC
TATA CHEMICALS LIMITED EQ EQ,TATACHEM
TATA CONSUMER PRODUCTS LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,TATACONSUM
TITAN COMPANY LIMITED EQ NEW Re.1/- EQ NEW Re.1/-,TITAN
ALLCARGO LOGISTICS LIMITED EQ NEW EQ NEW,ALLCARGO
ALLCARGO TERMINALS LIMITED EQ NEW FV RS 2/-,ATL
FIRSTSOURCE SOLUTIONS LIMITED EQ,FSL
FORTIS HEALTHCARE LIMITED EQ EQ,FORTIS
INDIAN BANK EQ EQ,INDIANB
INDOCO REMEDIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,INDOCO
INDOWIND ENERGY LIMITED EQ EQ,INDOWIND
INSECTICIDES (INDIA) LIMITED EQ EQ,INSECTICID
LUMAX AUTO TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,LUMAXTECH
MOTILAL OSWAL FINANCIAL SERVICES LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,MOTILALOFS
PDS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,PDSL
PEARL GLOBAL INDUSTRIES LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,PGIL
SMS LIFESCIENCES INDIA LIMITED EQ,SMSLIFE
SMS PHARMACEUTICALS LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,SMSPHARMA
TGB BANQUETS AND HOTELS LIMITED EQ,TGBHOTELS
THANGA MAYIL JEWELLERY LIMITED EQ EQ,THANGAMAYL
TRANSINDIA REAL ESTATE LIMITED EQ NEW FV RS 2/-,TREL
VASCON ENGINEERS LIMITED EQ. EQ.,VASCONEQ
ACC LIMITED EQ F.V. RS.10,ACC
AIA ENGINEERING LIMITED EQ NEW RE.2/- EQ NEW RE.2/-,AIAENG
BALKRISHNA INDUSTRIES LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,BALKRISIND
BIOCON LIMITED EQ EQ,BIOCON
CIE AUTOMOTIVE INDIA LIMITED EQ EQ,CIEINDIA
CSB BANK LIMITED EQ,CSBBANK
CYIENT LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,CYIENT
DIVI'S LABORATORIES LIMITED EQ NEW RS. 2/-,DIVISLAB
EXPLEO SOLUTIONS LIMITED EQ,EXPLEOSOL
FINOLEX CABLES LIMITED NEW EQ RS. 2/-,FINCABLES
FUSION FINANCE LIMITED EQ EQ,FUSION
GARWARE TECHNICAL FIBRES LIMITED EQ EQ,GARFIBRES
GUJARAT FLUOROCHEMICALS LIMITED EQ EQ,FLUOROCHEM
HARSHA ENGINEERS INTERNATIONAL LIMITED EQ NEW FV RS.10/-,HARSHA
HEUBACH COLORANTS INDIA LIMITED EQ F V RS 10/-,HEUBACHIND
HIMATSINGKA SEIDE LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,HIMATSEIDE
INDEGENE LIMITED EQ EQ,INDGN
KOTAK MAHINDRA BANK LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,KOTAKBANK
MAHINDRA AND MAHINDRA LIMITED EQ NEW F.V. RS.5 EQ NEW F.V. RS.5,M&M
NAZARA TECHNOLOGIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,NAZARA
POLYPLEX CORPORATION LIMITED EQ,POLYPLEX
POWER MECH PROJECTS LIMITED EQ EQ,POWERMECH
RATTANINDIA ENTERPRISES LIMITED EQ,RTNINDIA
ROSSARI BIOTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ROSSARI
S H KELKAR AND COMPANY LIMITED EQ NEW FV RS. 10/-,SHK
STYRENIX PERFORMANCE MATERIALS LIMITED EQ,STYRENIX
SURYA PHARMACEUTICAL LIMITED EQ NEW F.V. RE.1/-,SUNPHARMA
3I INFOTECH LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,3IINFOLTD
3I INFOTECH LIMITED REs - EQ RS. 10/- REs - EQ RS. 10/-,3IINFOLTD
ALKEM LABORATORIES LIMITED EQ,ALKEM
AWL AGRI BUSINESS LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,AWL
BAJAJ CONSUMER CARE LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,BAJAJCON
BANDHAN BANK LIMITED EQ EQ,BANDHANBNK
BIRLANU LIMITED EQ EQ,BIRLANU
DIXON TECHNOLOGIES (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,DIXON
FEDBANK FINANCIAL SERVICES LIMITED EQ EQ,FEDFINA
GUJARAT ALKALIES AND CHEMICALS LIMITED EQ EQ,GUJALKALI
GUJARAT PIPAVAV PORT LIMITED EQ,GPPL
HFCL LIMITED EQ NEW F.V.RE.1/- EQ NEW F.V.RE.1/-,HFCL
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED EQ EQ,ICICIGI
INOX WIND LIMITED EQ EQ,INOXWIND
MOIL LIMITED EQ NEW F.V. RS.10/-,MOIL
NAVKAR CORPORATION LIMITED EQ EQ,NAVKARCORP
NDR AUTO COMPONENTS LIMITED EQ EQ,NDRAUTO
NORTHERN ARC CAPITAL LIMITED EQ EQ,NORTHARC
PERSISTENT SYSTEMS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,PERSISTENT
PUNJAB AND SIND BANK EQ,PSB
SNOWMAN LOGISTICS LIMITED EQ,SNOWMAN
SYNCOM FORMULATIONS (INDIA) LIMITED EQ NEW Re. 1/- EQ NEW Re. 1/-,SYNCOMF
UJJIVAN SMALL FINANCE BANK LIMITED EQ EQ,UJJIVANSFB
AFCONS INFRASTRUCTURE LIMITED EQ EQ,AFCONS
